a,e,i,t,firing,detected_by_GS
13378374.320392,0.004878,0.872667,7980.000000,0,0
13378414.032097,0.004887,0.872669,8040.000000,0,0
13378447.077272,0.004895,0.872670,8100.000000,0,0
13378473.366876,0.004904,0.872670,8160.000000,0,0
13378492.828039,0.004913,0.872671,8220.000000,0,0
13378505.404105,0.004922,0.872671,8280.000000,0,0
13378511.054919,0.004931,0.872672,8340.000000,0,0
13378509.756938,0.004940,0.872671,8400.000000,0,0
13378501.503275,0.004949,0.872671,8460.000000,0,0
13378486.303937,0.004958,0.872671,8520.000000,0,0
13378464.185673,0.004966,0.872670,8580.000000,0,0
13378435.192067,0.004974,0.872669,8640.000000,0,0
13378399.383452,0.004982,0.872668,8700.000000,0,0
13378356.836758,0.004990,0.872666,8760.000000,0,0
13378307.645556,0.004997,0.872665,8820.000000,0,0
13378251.919702,0.005004,0.872663,8880.000000,0,0
13378189.785244,0.005011,0.872661,8940.000000,0,0
13378121.384133,0.005017,0.872659,9000.000000,0,0
13378046.873878,0.005022,0.872657,9060.000000,0,0
13377966.427395,0.005027,0.872654,9120.000000,0,0
13377880.232463,0.005031,0.872651,9180.000000,0,0
13377788.491428,0.005035,0.872648,9240.000000,0,0
13377691.420737,0.005038,0.872645,9300.000000,0,0
13377589.250392,0.005041,0.872642,9360.000000,0,0
13377482.223625,0.005043,0.872639,9420.000000,0,0
13377370.596158,0.005044,0.872635,9480.000000,0,0
13377254.635735,0.005044,0.872632,9540.000000,0,0
13377134.621468,0.005044,0.872628,9600.000000,0,0
13377010.843126,0.005043,0.872624,9660.000000,0,0
13376883.600629,0.005042,0.872620,9720.000000,0,0
13376753.203147,0.005040,0.872616,9780.000000,0,0
13376619.968469,0.005037,0.872612,9840.000000,0,0
13376484.222188,0.005034,0.872607,9900.000000,0,0
13376346.296846,0.005030,0.872603,9960.000000,0,0
13376206.531279,0.005025,0.872598,10020.000000,0,0
13376065.269583,0.005020,0.872594,10080.000000,0,0
13375922.860352,0.005014,0.872590,10140.000000,0,0
13375779.655750,0.005008,0.872585,10200.000000,0,0
13375636.010542,0.005001,0.872581,10260.000000,0,0
13375492.281345,0.004994,0.872576,10320.000000,0,0
13375348.825510,0.004986,0.872572,10380.000000,0,0
13375206.000288,0.004978,0.872567,10440.000000,0,0
13375064.161840,0.004970,0.872563,10500.000000,0,0
13374923.664229,0.004961,0.872558,10560.000000,0,0
13374784.858643,0.004952,0.872554,10620.000000,0,0
13374648.092262,0.004943,0.872549,10680.000000,0,0
13374513.707433,0.004933,0.872545,10740.000000,0,0
13374382.040704,0.004924,0.872541,10800.000000,0,0
13374253.421847,0.004914,0.872537,10860.000000,0,0
13374128.173152,0.004905,0.872533,10920.000000,0,0
13374006.608362,0.004895,0.872529,10980.000000,0,0
13373889.031940,0.004886,0.872525,11040.000000,0,0
13373775.738222,0.004877,0.872522,11100.000000,0,0
13373667.010559,0.004868,0.872518,11160.000000,0,0
13373563.120759,0.004859,0.872515,11220.000000,0,0
13373464.328180,0.004850,0.872512,11280.000000,0,0
13373370.879167,0.004842,0.872509,11340.000000,0,0
13373283.006389,0.004834,0.872506,11400.000000,0,0
13373200.928184,0.004827,0.872504,11460.000000,0,0
13373124.848199,0.004820,0.872501,11520.000000,0,0
13373054.954698,0.004813,0.872499,11580.000000,0,0
13372991.420224,0.004807,0.872497,11640.000000,0,0
13372934.401159,0.004802,0.872495,11700.000000,0,0
13372884.037297,0.004797,0.872493,11760.000000,0,0
13372840.451718,0.004793,0.872492,11820.000000,0,0
13372803.750327,0.004790,0.872491,11880.000000,0,0
13372774.021751,0.004787,0.872490,11940.000000,0,0
13372751.337123,0.004785,0.872489,12000.000000,0,0
13372735.749893,0.004784,0.872488,12060.000000,0,0
13372727.295917,0.004783,0.872488,12120.000000,0,0
13372725.993227,0.004783,0.872488,12180.000000,0,0
13372731.842141,0.004784,0.872488,12240.000000,0,0
13372744.825261,0.004785,0.872488,12300.000000,0,0
13372764.907495,0.004788,0.872489,12360.000000,0,0
13372792.036351,0.004790,0.872489,12420.000000,0,0
13372826.141910,0.004794,0.872490,12480.000000,0,0
13372867.137131,0.004798,0.872492,12540.000000,0,0
13372914.918052,0.004803,0.872493,12600.000000,0,0
13372969.363991,0.004808,0.872495,12660.000000,0,0
13373030.338029,0.004814,0.872497,12720.000000,0,0
13373097.687126,0.004821,0.872499,12780.000000,0,0
13373171.242791,0.004828,0.872501,12840.000000,0,0
13373250.821318,0.004835,0.872503,12900.000000,0,0
13373336.224236,0.004843,0.872506,12960.000000,0,0
13373427.238821,0.004851,0.872509,13020.000000,0,0
13373523.638570,0.004860,0.872512,13080.000000,0,0
13373625.183930,0.004868,0.872515,13140.000000,0,0
13373731.622703,0.004877,0.872518,13200.000000,0,0
13373842.690794,0.004887,0.872521,13260.000000,0,0
13373958.112816,0.004896,0.872525,13320.000000,0,0
13374077.602672,0.004905,0.872529,13380.000000,0,0
13374200.864467,0.004915,0.872532,13440.000000,0,0
13374327.593287,0.004924,0.872536,13500.000000,0,0
13374457.475772,0.004933,0.872540,13560.000000,0,0
13374590.191015,0.004942,0.872545,13620.000000,0,0
13374725.411278,0.004951,0.872549,13680.000000,0,0
13374862.802965,0.004960,0.872553,13740.000000,0,0
13375002.027397,0.004969,0.872557,13800.000000,0,0
13375142.741662,0.004977,0.872562,13860.000000,0,0
13375284.599545,0.004985,0.872566,13920.000000,0,0
13375427.252300,0.004992,0.872571,13980.000000,0,0
13375570.349678,0.004999,0.872575,14040.000000,0,0
13375713.540748,0.005006,0.872580,14100.000000,0,0
13375856.474774,0.005012,0.872584,14160.000000,0,0
13375998.802159,0.005017,0.872589,14220.000000,0,0
13376140.175222,0.005022,0.872593,14280.000000,0,0
13376280.249211,0.005026,0.872598,14340.000000,0,0
13376418.683105,0.005030,0.872602,14400.000000,0,0
